GAZP,SBER,SBERP,LKOH,GMKN,YNDX,NVTK,TATN,TATNP,ROSN,SNGS,SNGSP,MGNT,FIVE,MTSS,POLY,ALRS,CHMF,PLZL,IRAO,NLMK,VTBR,MOEX,PHOR,TRNFP,MAGN,RTKM,RUAL,AFLT,PIKK,HYDR,FEES,AFKS,LSRG,CBOM,UPRO,DSKY,LNTA,SFIN,RNFT,MVID,DJ.W1FIN,DJ.W1IDU,NASDAQCOMP,EURUSD,USDCNY,NYMEX.NG,INDUSDX,ICE.BRN,LME.Alum,LME.Nickel,comex.GC,comex.SI,D&J-IND,RTSI
137.774,137.768,98.928,2938.3,9820.2,1468.9,671.82,333.13,174.64,345.79,30.508,33.038,10481.4,85.158,245.19,987.5,74.754,796.02,4598.8,2.615,92.17,0.067,126.728,2615.4,161800.0,32.797,85.158,23.172,83.572,258.06,0.698,0.152,22.947,894.3,3.948,2.88,2938.3,511.7,13.43,13.43,346.38,107.888,132.494,5239.113,1.127,6.638,2.608,94.892,49.273,1675.05,10304.95,1349.617,19.704,18583.083,970.606
136.758,141.062,101.428,3021.6,9795.8,1446.9,697.8,327.96,174.52,350.34,30.209,32.217,10429.4,83.25,236.88,972.8,74.92,805.62,4568.0,2.729,92.914,0.067,127.042,2586.6,159180.0,32.41,83.25,24.546,88.27,268.2,0.734,0.163,22.868,904.3,4.147,2.83,3021.6,520.2,13.822,13.822,353.84,107.888,132.525,5227.544,1.127,6.655,2.757,94.745,49.638,1645.05,10000.5,1333.65,18.734,18481.026,966.66
135.456,144.272,103.098,2966.8,9637.4,1446.9,689.18,322.68,175.6,346.9,30.951,32.307,10416.2,82.018,238.48,924.6,75.398,771.1,4604.0,2.847,90.646,0.07,129.058,2581.0,153840.0,30.831,82.018,24.162,98.814,274.22,0.784,0.173,22.616,886.7,4.159,2.815,2966.8,510.4,14.28,14.28,349.38,107.888,132.201,5228.951,1.117,6.677,2.842,95.771,47.873,1606.2,9832.3,1320.567,18.756,18454.509,957.164
140.104,151.904,108.312,3078.1,9801.4,1418.7,679.08,327.2,179.48,360.55,31.181,31.641,10661.2,82.34,242.71,904.4,80.468,787.62,4587.4,3.05,91.694,0.075,128.962,2585.8,150480.0,31.358,82.34,24.254,105.16,280.56,0.818,0.18,21.88,896.8,4.263,2.801,3078.1,509.0,16.356,16.356,366.7,107.888,132.901,5236.294,1.122,6.662,2.756,95.307,47.923,1570.35,10175.3,1340.1,19.566,18408.027,995.91
138.16,149.646,106.956,3044.4,9595.2,1330.4,660.16,317.26,177.92,365.36,31.309,30.662,10260.8,81.35,235.17,858.1,83.004,759.32,4610.4,3.163,86.348,0.075,123.148,2549.0,148240.0,30.365,81.35,23.386,104.362,280.66,0.774,0.172,20.863,890.5,4.197,2.794,3044.4,495.4,16.514,16.514,359.68,107.888,129.757,5206.234,1.122,6.672,2.9,95.439,46.888,1556.45,9794.4,1324.1,18.922,18153.187,971.042
136.648,150.862,108.718,3066.4,9586.4,1366.0,653.36,322.49,175.92,359.3,30.913,29.704,10527.4,80.642,232.23,864.2,86.82,768.2,4544.6,3.107,86.11,0.075,128.52,2571.6,139560.0,29.472,80.642,22.564,110.874,283.66,0.799,0.172,20.637,888.9,4.221,2.766,3066.4,517.3,16.674,16.674,348.18,107.888,130.895,5283.366,1.119,6.669,3.004,95.647,46.488,1593.95,10390.0,1328.283,19.508,18240.164,983.014
134.696,147.524,108.406,3049.7,9825.8,1354.4,671.54,320.31,179.66,344.93,30.476,29.587,10539.4,79.302,229.59,800.2,87.318,776.2,4510.2,3.167,84.938,0.073,125.224,2531.0,137680.0,29.339,79.302,21.834,116.884,290.26,0.79,0.176,20.397,884.7,4.244,2.854,3049.7,520.3,17.446,17.446,338.44,107.888,131.933,5292.581,1.123,6.669,2.974,95.332,48.365,1655.1,10536.2,1329.883,19.276,18223.409,984.874
135.68,148.512,109.456,3069.6,9538.6,1363.3,671.54,324.98,183.22,343.84,29.43,29.118,10507.4,79.302,229.59,714.6,90.136,790.16,4456.0,3.259,85.412,0.071,122.878,2442.2,136100.0,29.229,79.302,23.34,120.714,291.92,0.763,0.173,20.549,889.5,4.271,2.82,3069.6,511.1,17.134,17.134,355.5,107.888,131.911,5301.016,1.12,6.668,3.002,96.078,51.317,1666.45,10146.6,1281.467,18.03,18243.08,1001.792
137.964,148.918,112.174,3089.5,9415.6,1287.2,677.86,327.96,189.5,359.89,29.124,30.122,10290.0,80.194,227.62,657.3,89.576,812.22,4423.6,3.238,87.08,0.069,123.832,2430.0,140880.0,28.838,80.194,22.534,117.91,289.42,0.762,0.17,20.314,896.6,4.271,2.748,3089.5,508.2,16.286,16.286,339.52,107.888,130.246,5248.395,1.105,6.71,3.249,97.468,52.1,1678.25,10442.15,1258.733,17.559,18168.457,998.07
135.31,147.896,111.218,3047.3,9291.8,1220.1,664.28,331.41,190.0,345.19,27.753,29.891,10466.4,79.136,218.96,674.9,87.48,816.76,4404.0,3.274,89.606,0.068,121.142,2330.2,140840.0,28.684,79.136,21.526,121.58,286.84,0.785,0.167,20.518,890.1,4.179,2.719,3047.3,496.6,15.408,15.408,343.46,107.888,130.246,5237.696,1.094,6.748,3.168,98.104,51.912,1628.2,10184.25,1262.983,17.544,18152.417,986.664
135.142,149.978,112.21,3095.4,9331.4,1233.8,664.6,335.08,194.68,348.13,27.166,29.213,10472.4,78.988,215.73,675.7,87.64,849.3,4356.6,3.286,93.634,0.069,116.796,2323.0,153900.0,29.351,78.988,21.778,128.394,284.36,0.805,0.169,19.945,889.1,4.2,2.757,3095.4,474.8,15.538,15.538,350.96,107.888,129.954,5250.348,1.092,6.774,2.923,98.634,51.233,1675.55,10241.95,1270.583,17.668,18185.114,994.09
140.382,144.59,108.982,3043.25,9252.75,1225.375,649.9,357.112,200.5,348.15,27.89,28.795,10485.25,80.8,222.075,724.875,87.292,861.55,4438.25,3.426,100.34,0.068,115.308,2304.5,156037.5,31.439,80.8,23.227,132.535,283.725,0.79,0.168,19.69,895.0,4.263,2.872,3043.25,457.125,15.945,15.945,338.075,107.888,128.751,5110.611,1.107,6.762,2.886,97.647,47.62,1727.7,10389.0,1293.317,18.266,17992.229,982.415
143.744,149.084,109.786,3063.3,9683.2,1218.5,667.96,361.35,195.68,344.45,29.083,29.375,9802.2,81.498,221.38,718.3,83.514,891.82,4455.6,3.57,108.264,0.068,112.112,2343.2,164670.0,30.815,81.498,24.372,128.15,279.88,0.77,0.164,19.367,897.5,4.367,2.765,3063.3,468.2,16.274,16.274,333.0,107.888,130.239,5210.853,1.095,6.786,2.701,98.25,45.795,1742.45,11299.9,1279.317,18.199,18568.079,978.194
146.464,149.998,111.608,3071.9,10290.0,1176.5,690.7,378.6,198.08,338.02,29.54,29.57,10109.2,82.448,220.94,637.5,88.422,918.82,4452.0,3.863,115.976,0.068,110.826,2470.0,158240.0,31.865,82.448,26.05,129.64,277.96,0.786,0.176,19.33,892.7,4.317,2.765,3071.9,488.9,16.288,16.288,344.3,107.888,131.807,5288.709,1.068,6.86,2.749,100.384,45.96,1711.1,11162.05,1218.417,16.906,18886.966,983.426
150.302,156.948,115.3,3149.0,10370.4,1211.2,725.26,390.39,202.66,343.57,29.185,29.277,10433.4,83.28,225.87,607.5,89.508,952.36,4430.6,3.945,117.102,0.068,116.976,2561.8,163420.0,34.002,83.28,26.332,130.222,276.8,0.827,0.183,20.22,884.7,4.266,2.874,3149.0,509.8,16.208,16.208,369.76,107.888,132.711,5383.556,1.059,6.901,3.001,101.414,48.385,1759.65,11468.05,1198.033,16.513,19054.613,1019.208
150.13,158.854,116.166,3195.3,10537.8,1208.8,727.96,391.92,202.9,338.41,29.74,30.921,10363.4,84.442,234.56,610.6,91.47,972.22,4417.0,3.806,119.03,0.069,116.992,2562.2,179570.0,34.809,84.442,26.994,133.666,279.04,0.917,0.196,21.569,913.0,4.272,2.857,3195.3,503.5,16.032,16.032,370.36,112.692,133.331,5315.783,1.063,6.894,3.359,101.153,50.563,1728.45,11285.75,1183.733,16.603,19141.732,1030.138
152.654,163.992,119.684,3317.0,10957.2,1234.6,764.98,419.05,220.82,361.41,30.564,32.408,10586.4,86.928,251.75,608.5,92.44,1000.76,4445.0,3.759,117.232,0.07,119.642,2615.8,194640.0,34.237,86.928,28.562,142.932,280.74,0.952,0.201,22.806,960.1,4.244,2.917,3317.0,509.5,16.146,16.146,368.82,115.797,134.873,5379.183,1.066,6.886,3.632,100.835,53.922,1729.75,11403.9,1171.75,16.917,19478.518,1080.67
157.846,174.964,128.38,3358.2,10668.0,1270.7,786.7,400.66,229.88,399.99,30.63,32.409,10579.4,86.964,262.29,600.3,97.912,962.44,4444.4,3.823,113.194,0.073,124.718,2568.4,201800.0,34.271,86.964,27.638,149.862,273.84,0.968,0.204,22.509,950.6,4.24,2.932,3358.2,480.6,15.852,15.852,381.18,116.968,135.228,5441.411,1.052,6.923,3.489,101.941,55.127,1741.45,11267.5,1149.483,16.685,19839.834,1147.058
152.456,173.212,128.204,3393.7,10212.6,1253.0,774.42,402.85,225.06,395.37,30.457,31.587,10575.0,84.238,255.53,596.2,97.072,919.74,4449.2,3.79,112.034,0.072,120.214,2517.0,198040.0,33.738,84.238,26.044,154.79,280.5,0.908,0.197,22.702,964.9,4.264,2.811,3393.7,480.7,15.702,15.702,385.26,116.175,134.616,5464.532,1.043,6.947,3.488,103.025,55.07,1723.0,10714.05,1135.717,15.949,19931.139,1131.44
151.5,171.778,129.076,3412.8,9992.2,1239.7,771.54,411.64,227.52,397.29,30.343,31.482,10637.4,83.802,252.08,618.1,96.61,917.84,4418.0,3.795,113.612,0.073,121.226,2560.2,198900.0,33.274,83.802,25.978,152.924,286.88,0.917,0.2,22.68,967.3,4.292,2.839,3412.8,486.8,15.078,15.078,385.66,115.855,134.339,5435.3,1.047,6.948,3.777,102.822,56.82,1704.45,10170.2,1149.0,15.966,19840.945,1139.068
155.81,174.665,134.34,3449.625,10126.25,1255.75,767.325,434.825,239.3,404.35,31.754,32.674,11085.5,85.118,259.863,655.375,100.887,943.6,4514.0,4.09,115.155,0.072,127.805,2588.25,204550.0,33.005,85.118,27.072,148.6,289.0,0.925,0.206,23.285,975.125,4.28,2.894,3449.625,496.875,15.117,15.117,382.7,117.288,135.054,5478.77,1.05,6.928,3.311,102.314,56.5,1697.875,10181.25,1169.1,16.449,19922.425,1179.727
156.916,168.434,128.354,3353.6,10140.2,1298.7,752.62,431.35,237.5,394.97,31.337,32.198,10174.6,85.318,258.42,669.0,100.252,954.52,4522.6,4.095,114.286,0.07,132.962,2691.0,212640.0,33.75,85.318,27.05,150.608,287.34,0.958,0.205,23.54,1021.7,4.296,2.953,3353.6,487.7,15.088,15.088,374.32,118.163,136.462,5553.291,1.059,6.913,3.304,101.748,55.408,1764.3,10348.0,1189.767,16.742,19895.456,1164.85
